訂單編號,產品系列,數量,預估交期
220501001,USB3.0,2520,2022/5/3
220501002,USB3.0,3560,2022/5/4
220501003,USB3.0,1530,2022/5/5
220501004,USB3.0,2510,2022/5/6
220501005,USB3.0,540,2022/5/10
220501006,USB3.0,530,2022/5/11
220501007,USB3.0,505,2022/5/12
220501008,USB3.0,520,2022/5/13
220501009,USB3.0,530,2022/5/17
220501010,USB3.0,320,2022/5/18
220501011,USB3.0,750,2022/5/19
220501012,USB3.0,510,2022/5/20
220501013,USB3.0,630,2022/5/24
220501014,USB3.0,410,2022/5/25
220501015,USB3.0,320,2022/5/26
220501016,USB3.0,750,2022/5/27
220601001,USB3.0,3520,2022/6/3
220601002,USB3.0,2560,2022/6/4
220601003,USB3.0,2530,2022/6/5
220601004,USB3.0,1510,2022/6/9
220601005,USB3.0,1740,2022/6/10
220601006,USB3.0,3330,2022/6/11
220601007,USB3.0,2505,2022/6/12
220601008,USB3.0,2520,2022/6/16
220601009,USB3.0,1030,2022/6/20
220601010,USB3.0,320,2022/6/21
220601011,USB3.0,750,2022/6/22
220601012,USB3.0,310,2022/6/23
220601013,USB3.0,630,2022/6/26
220601014,USB3.0,410,2022/6/27
220601015,USB3.0,820,2022/6/28
220601016,USB3.0,750,2022/6/29
220701001,USB3.0,2560,2022/7/5
220701002,USB3.0,2560,2022/7/6
220701003,USB3.0,3040,2022/7/7
220701004,USB3.0,2010,2022/7/8
220701005,USB3.0,640,2022/7/12
220701006,USB3.0,520,2022/7/13
220701007,USB3.0,505,2022/7/14
220701008,USB3.0,420,2022/7/15
220701009,USB3.0,2030,2022/7/19
220701010,USB3.0,330,2022/7/20
220701011,USB3.0,750,2022/7/21
220701012,USB3.0,1010,2022/7/22
220701013,USB3.0,1630,2022/7/26
220701014,USB3.0,1410,2022/7/27
220701015,USB3.0,320,2022/7/28
220701016,USB3.0,750,2022/7/29
220801001,USB3.0,3630,2022/8/2
220801002,USB3.0,2760,2022/8/3
220801003,USB3.0,2330,2022/8/4
220801004,USB3.0,1420,2022/8/5
220801005,USB3.0,1840,2022/8/9
220801006,USB3.0,3230,2022/8/10
220801007,USB3.0,2605,2022/8/11
220801008,USB3.0,2420,2022/8/12
220801009,USB3.0,1030,2022/8/16
220801010,USB3.0,320,2022/8/17
220801011,USB3.0,750,2022/8/18
220801012,USB3.0,1010,2022/8/19
220801013,USB3.0,1630,2022/8/23
220801014,USB3.0,410,2022/8/24
220801015,USB3.0,320,2022/8/25
220801016,USB3.0,750,2022/8/26
220901001,USB3.0,3510,2022/9/6
220901002,USB3.0,2550,2022/9/7
220901003,USB3.0,2530,2022/9/8
