week,GIGE,USB2.0,USB3.0,Unknown,other
2018-12-31,,,59.0,15705.0,
2019-01-07,1950.0,300.0,372.0,107134.0,247.0
2019-01-14,1598.0,62000.0,840.0,94997.0,143887.0
2019-01-21,701.0,98700.0,27303.0,530507.0,128316.0
2019-01-28,353.0,630.0,4110.0,919.0,4878.0
2019-02-04,,,,,
2019-02-11,16.0,,162.0,38300.0,15.0
2019-02-18,80.0,15.0,2130.0,37980.0,8284.0
2019-02-25,481.0,72870.0,1508.0,287706.0,168048.0
2019-03-04,285.0,10.0,1207.0,23050.0,266.0
2019-03-11,20.0,77000.0,429.0,406191.0,135916.0
2019-03-18,2664.0,,4398.0,29294.0,10065.0
2019-03-25,335.0,164610.0,6281.0,163593.0,122031.0
2019-04-01,,2035.0,1008.0,914.0,2146.0
2019-04-08,1406.0,5652.0,4525.0,60727.0,1670.0
2019-04-15,1102.0,147016.0,10082.0,94363.0,109059.0
2019-04-22,667.0,11000.0,4213.0,100124.0,7674.0
2019-04-29,45.0,135325.0,7218.0,165463.0,111155.0
2019-05-06,38.0,500.0,1656.0,55863.0,420.0
2019-05-13,508.0,128244.0,3964.0,118726.0,148602.0
2019-05-20,1258.0,751.0,4285.0,45385.0,24298.0
2019-05-27,198.0,181173.0,10313.0,185475.0,74395.0
2019-06-03,1334.0,3952.0,2674.0,19957.0,2180.0
2019-06-10,928.0,16558.0,7171.0,83071.0,5399.0
2019-06-17,1600.0,,7638.0,40132.0,12493.0
2019-06-24,187.0,189850.0,13134.0,546790.0,138862.0
2019-07-01,23.0,100.0,1222.0,24130.0,4634.0
2019-07-08,599.0,2000.0,163.0,40880.0,1887.0
2019-07-15,740.0,5400.0,5614.0,98729.0,23774.0
2019-07-22,284.0,7.0,4455.0,73755.0,23.0
2019-07-29,320.0,61604.0,15331.0,451487.0,92996.0
2019-08-05,2.0,30.0,165.0,35504.0,300.0
2019-08-12,580.0,100.0,4521.0,31790.0,2104.0
2019-08-19,12.0,,6950.0,61336.0,
2019-08-26,1630.0,77203.0,9884.0,871105.0,114270.0
2019-09-02,1128.0,,43.0,77130.0,359.0
2019-09-09,4.0,10000.0,1151.0,44604.0,45.0
2019-09-16,668.0,93785.0,4262.0,513375.0,104817.0
2019-09-23,1494.0,59425.0,5744.0,182794.0,79798.0
